,rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_name,opening_ply,game_category,white level,black level,Rating_Diff,Quality,winner condition,base_time,increment_time
15,False,43,resign,black,1141,1094,C57,Italian Game,7,rapid,Beginner,Rookie,47,High Quality,lower rating,15,15
16,False,52,resign,black,1094,1141,C50,Four Knights Game,8,rapid,Rookie,Beginner,47,High Quality,higher rating,15,15
17,False,66,mate,black,1141,1094,C50,Four Knights Game,8,rapid,Beginner,Rookie,47,High Quality,lower rating,15,16
18,False,101,resign,black,1094,1300,C41,Philidor Defense #3,5,rapid,Rookie,Beginner,206,Medium Quality,higher rating,15,15
19,False,25,resign,white,1500,1094,D00,Queen's Pawn Game,2,rapid,Beginner,Rookie,406,Low Quality,higher rating,11,0
20,False,14,resign,black,1094,1676,C55,Italian Game,6,rapid,Rookie,Intermediate,582,Low Quality,higher rating,15,15
21,False,3,resign,white,1094,1068,A40,Horwitz Defense,2,rapid,Rookie,Rookie,26,High Quality,higher rating,30,60
22,False,17,resign,white,1500,1094,B20,Sicilian Defense,3,rapid,Beginner,Rookie,406,Low Quality,higher rating,15,5
23,True,36,resign,white,1307,1106,A25,English Opening,4,rapid,Beginner,Beginner,201,Medium Quality,higher rating,10,0
24,True,13,resign,black,1113,1423,B21,Sicilian Defense,3,rapid,Beginner,Beginner,310,Medium Quality,higher rating,10,0
25,True,69,mate,white,1078,1219,D01,Queen's Pawn Game,4,rapid,Rookie,Beginner,141,High Quality,higher rating,10,10
26,True,43,resign,white,1825,1079,C45,Scotch Game,8,rapid,Intermediate,Rookie,746,Low Quality,higher rating,10,10
27,True,54,mate,black,1328,1038,D01,Queen's Pawn Game,4,rapid,Beginner,Rookie,290,Medium Quality,lower rating,10,10
28,True,53,resign,black,1056,1156,D10,Slav Defense,4,rapid,Rookie,Beginner,100,High Quality,higher rating,10,10
29,True,66,mate,black,1077,1148,D06,Queen's Gambit Refused,4,rapid,Rookie,Beginner,71,High Quality,higher rating,10,10
30,True,64,resign,black,1358,1036,B21,Sicilian Defense,3,rapid,Beginner,Rookie,322,Medium Quality,lower rating,10,10
31,True,64,mate,black,1200,1002,B52,Sicilian Defense,6,rapid,Beginner,Rookie,198,High Quality,lower rating,10,10
32,True,54,resign,white,1203,1019,B27,Sicilian Defense,3,rapid,Beginner,Rookie,184,High Quality,higher rating,10,10
33,False,21,resign,black,1019,1500,D20,Queen's Gambit Accepted,6,rapid,Rookie,Beginner,481,Low Quality,higher rating,15,3
34,False,11,resign,white,1422,975,B20,Sicilian Defense,3,rapid,Beginner,Rookie,447,Low Quality,higher rating,18,0
35,True,19,resign,black,976,1832,B06,Robatsch (Modern) Defense,4,rapid,Rookie,Intermediate,856,Low Quality,higher rating,10,0
36,True,28,resign,white,1569,978,D00,Blackmar-Diemer Gambit,10,rapid,Beginner,Rookie,591,Low Quality,higher rating,10,0
37,False,22,resign,black,978,1500,A45,Indian Game,2,rapid,Rookie,Beginner,522,Low Quality,higher rating,15,0
38,False,37,resign,white,1500,978,B77,Sicilian Defense,17,rapid,Beginner,Rookie,522,Low Quality,higher rating,15,0
39,False,34,resign,white,2449,978,A21,English Opening,3,rapid,Expert,Rookie,1471,Low Quality,higher rating,30,30
40,False,32,draw,draw,1207,978,B70,Sicilian Defense,10,rapid,Beginner,Rookie,229,Medium Quality,higher rating,20,25
41,False,71,resign,black,1241,978,B23,Sicilian Defense,3,blitz,Beginner,Rookie,263,Medium Quality,lower rating,5,5
42,False,30,resign,white,1500,978,B21,Sicilian Defense,3,rapid,Beginner,Rookie,522,Low Quality,higher rating,30,0
43,False,66,resign,white,2443,978,B76,Sicilian Defense,17,rapid,Expert,Rookie,1465,Low Quality,higher rating,40,40
44,False,41,resign,white,1500,978,B21,Sicilian Defense,3,rapid,Beginner,Rookie,522,Low Quality,higher rating,20,0
45,False,49,resign,white,1500,978,B20,Sicilian Defense,3,rapid,Beginner,Rookie,522,Low Quality,higher rating,15,0
46,False,3,resign,black,978,1500,B01,Scandinavian Defense,2,rapid,Rookie,Beginner,522,Low Quality,higher rating,15,0
47,False,7,resign,white,1343,978,B20,Sicilian Defense,3,rapid,Beginner,Rookie,365,Medium Quality,higher rating,10,0
48,False,35,mate,white,2436,978,B77,Sicilian Defense,17,rapid,Expert,Rookie,1458,Low Quality,higher rating,40,40
49,False,41,mate,white,2436,978,B01,Scandinavian Defense,4,rapid,Expert,Rookie,1458,Low Quality,higher rating,40,40
50,False,5,resign,black,978,1500,C00,French Defense,3,rapid,Rookie,Beginner,522,Low Quality,higher rating,10,0
51,False,7,resign,white,1500,978,C21,King's Pawn Game,4,rapid,Beginner,Rookie,522,Low Quality,higher rating,10,0
52,False,53,mate,white,978,1500,A80,Dutch Defense,2,rapid,Rookie,Beginner,522,Low Quality,higher rating,10,0
53,False,36,resign,black,1500,978,A20,English Opening,2,rapid,Beginner,Rookie,522,Low Quality,lower rating,10,0
54,True,8,resign,white,1521,1162,A04,Zukertort Opening,2,rapid,Beginner,Beginner,359,Medium Quality,higher rating,16,0
55,True,3,resign,white,1407,1500,B23,Sicilian Defense,3,blitz,Beginner,Beginner,93,High Quality,higher rating,6,10
56,True,28,resign,white,1492,1458,C26,Vienna Game,5,rapid,Beginner,Beginner,34,High Quality,higher rating,10,0
57,True,30,resign,black,1414,1442,C41,Philidor Defense,8,rapid,Beginner,Beginner,28,High Quality,higher rating,10,0
58,True,44,resign,black,1457,1294,C44,Scotch Game,5,rapid,Beginner,Beginner,163,High Quality,lower rating,10,0
59,True,29,resign,white,1525,1466,C41,Philidor Defense,6,rapid,Beginner,Beginner,59,High Quality,higher rating,10,0
60,True,37,resign,black,1207,1579,C00,French Defense,3,blitz,Beginner,Beginner,372,Medium Quality,higher rating,8,10
61,True,49,resign,white,1567,1573,A40,Modern Defense,2,blitz,Beginner,Beginner,6,High Quality,higher rating,8,12
62,True,32,resign,black,1578,1605,A40,Horwitz Defense,2,blitz,Beginner,Intermediate,27,High Quality,higher rating,8,12
63,True,25,resign,white,1939,1581,E10,Blumenfeld Countergambit #2,6,blitz,Intermediate,Beginner,358,Medium Quality,higher rating,8,12
64,True,40,mate,black,1618,1568,C00,French Defense #2,2,blitz,Intermediate,Beginner,50,High Quality,lower rating,5,10
65,True,39,resign,white,1755,1574,A04,Zukertort Opening,2,blitz,Intermediate,Beginner,181,High Quality,higher rating,7,12
66,True,57,resign,white,1561,1596,A45,Indian Game,2,rapid,Beginner,Beginner,35,High Quality,higher rating,15,10
67,True,78,resign,black,1500,1554,C00,French Defense,3,blitz,Beginner,Beginner,54,High Quality,higher rating,5,40
68,True,61,resign,white,1544,1461,D00,Queen's Pawn Game,3,rapid,Beginner,Beginner,83,High Quality,higher rating,15,5
69,True,44,resign,black,1563,1335,D00,Queen's Pawn Game,3,rapid,Beginner,Beginner,228,Medium Quality,lower rating,20,5
70,True,62,mate,black,1579,1470,A41,Queen's Pawn,2,rapid,Beginner,Beginner,109,High Quality,lower rating,20,5
71,True,87,mate,white,1617,1590,A45,Indian Game,2,rapid,Intermediate,Beginner,27,High Quality,higher rating,20,5
72,True,54,mate,black,1207,1588,C02,French Defense,7,rapid,Beginner,Beginner,381,Medium Quality,higher rating,20,5
73,True,54,resign,black,1595,1547,D00,Queen's Pawn Game,3,rapid,Beginner,Beginner,48,High Quality,lower rating,15,5
74,True,37,resign,white,1855,1599,C01,French Defense,5,rapid,Intermediate,Beginner,256,Medium Quality,higher rating,15,5
75,True,50,resign,white,1589,1547,A40,Horwitz Defense,2,rapid,Beginner,Beginner,42,High Quality,higher rating,15,5
76,True,131,resign,white,1571,1728,D02,Queen's Pawn Game,5,rapid,Beginner,Intermediate,157,High Quality,higher rating,30,0
77,True,48,resign,white,1720,1579,C00,French Defense,3,rapid,Intermediate,Beginner,141,High Quality,higher rating,30,0
78,True,47,resign,black,1579,2105,D02,Queen's Pawn Game,5,rapid,Beginner,Advanced,526,Low Quality,higher rating,15,5
79,True,64,mate,black,1768,1560,C00,French Defense,3,rapid,Intermediate,Beginner,208,Medium Quality,lower rating,15,5
80,True,61,resign,white,1552,1436,D00,Queen's Pawn Game,3,rapid,Beginner,Beginner,116,High Quality,higher rating,15,5
81,True,57,mate,white,1536,1667,D02,Queen's Pawn Game,5,rapid,Beginner,Intermediate,131,High Quality,higher rating,15,5
82,True,51,resign,white,1521,1549,A10,English Opening,2,rapid,Beginner,Beginner,28,High Quality,higher rating,15,5
83,True,58,mate,black,1251,1545,A00,Crab Opening,3,rapid,Beginner,Beginner,294,Medium Quality,higher rating,15,5
84,True,71,resign,white,1537,1408,D00,Queen's Pawn Game,3,rapid,Beginner,Beginner,129,High Quality,higher rating,15,5
85,True,114,resign,white,1522,1512,A40,Queen's Pawn,1,rapid,Beginner,Beginner,10,High Quality,higher rating,15,5
86,True,39,resign,white,1602,1532,C18,French Defense,11,rapid,Intermediate,Beginner,70,High Quality,higher rating,15,5
87,True,20,resign,black,1543,1593,D02,Queen's Pawn Game,5,rapid,Beginner,Beginner,50,High Quality,higher rating,15,5
88,True,48,resign,black,1556,1539,D00,Queen's Pawn Game,3,rapid,Beginner,Beginner,17,High Quality,lower rating,30,0
89,True,34,mate,black,1409,1548,C00,French Defense,3,rapid,Beginner,Beginner,139,High Quality,higher rating,20,10
90,True,51,resign,white,1539,1418,D02,Queen's Pawn Game,5,rapid,Beginner,Beginner,121,High Quality,higher rating,20,10
91,True,69,resign,white,1603,1550,C00,French Defense,3,rapid,Intermediate,Beginner,53,High Quality,higher rating,20,10
92,True,28,resign,white,1542,1399,D00,Queen's Pawn Game,4,rapid,Beginner,Beginner,143,High Quality,higher rating,20,10
93,True,62,resign,black,1546,1877,D02,Queen's Pawn Game,5,rapid,Beginner,Intermediate,331,Medium Quality,higher rating,20,10
94,True,62,mate,black,1134,1535,A47,Queen's Indian Defense,4,rapid,Beginner,Beginner,401,Low Quality,higher rating,20,10
95,True,85,mate,white,1513,1784,A40,Horwitz Defense,2,rapid,Beginner,Intermediate,271,Medium Quality,higher rating,20,10
96,True,38,resign,white,1501,1445,D02,Queen's Pawn Game,5,rapid,Beginner,Beginner,56,High Quality,higher rating,20,10
97,False,14,resign,white,1500,1500,C50,Italian Game,8,rapid,Beginner,Beginner,0,High Quality,higher rating,45,0
98,True,113,draw,draw,1745,1714,D06,Queen's Gambit Refused,4,rapid,Intermediate,Intermediate,31,High Quality,higher rating,15,0
99,True,62,resign,white,1734,1748,D06,Queen's Gambit Refused,4,rapid,Intermediate,Intermediate,14,High Quality,higher rating,15,0
100,True,101,resign,white,1942,1739,C10,French Defense,6,rapid,Intermediate,Intermediate,203,Medium Quality,higher rating,10,0
101,True,75,outoftime,white,1724,1855,C45,Scotch Game,7,rapid,Intermediate,Intermediate,131,High Quality,higher rating,10,0
102,True,135,mate,white,1951,1729,C02,French Defense,11,rapid,Intermediate,Intermediate,222,Medium Quality,higher rating,10,0
103,True,81,outoftime,white,1726,1388,C41,Philidor Defense,5,rapid,Intermediate,Beginner,338,Medium Quality,higher rating,10,0
104,True,46,resign,black,1735,1806,D80,Gruenfeld Defense,6,rapid,Intermediate,Intermediate,71,High Quality,higher rating,10,0
105,True,70,mate,black,1597,1728,C00,French Defense,3,rapid,Beginner,Intermediate,131,High Quality,higher rating,10,0
106,True,39,resign,white,1743,1738,C10,French Defense,10,rapid,Intermediate,Intermediate,5,High Quality,higher rating,10,0
107,True,91,resign,white,1721,1750,D30,Queen's Gambit Declined,7,rapid,Intermediate,Intermediate,29,High Quality,higher rating,10,0
108,True,137,outoftime,white,1746,1487,D20,Queen's Gambit Accepted,5,rapid,Intermediate,Beginner,259,Medium Quality,higher rating,10,0
109,True,46,resign,black,1744,1735,C02,French Defense,9,rapid,Intermediate,Intermediate,9,High Quality,lower rating,10,0
110,True,18,resign,black,1749,1631,D41,Queen's Gambit Declined,9,rapid,Intermediate,Intermediate,118,High Quality,lower rating,10,0
111,True,28,resign,black,1769,1396,D20,Queen's Gambit Accepted,5,rapid,Intermediate,Beginner,373,Medium Quality,lower rating,10,0
112,True,40,resign,black,1795,1760,A46,Yusupov-Rubinstein System,5,blitz,Intermediate,Intermediate,35,High Quality,lower rating,5,8
113,True,111,mate,white,1729,1795,D31,Queen's Gambit Declined,5,rapid,Intermediate,Intermediate,66,High Quality,higher rating,15,0
114,True,54,mate,black,1795,1784,C64,Ruy Lopez,6,rapid,Intermediate,Intermediate,11,High Quality,lower rating,10,0
115,True,33,resign,white,1770,1872,D02,Queen's Pawn Game,3,rapid,Intermediate,Intermediate,102,High Quality,higher rating,10,0
116,True,90,resign,black,1783,1721,D02,Queen's Pawn Game,5,rapid,Intermediate,Intermediate,62,High Quality,lower rating,10,0
117,True,90,resign,black,1884,1768,C64,Ruy Lopez,7,rapid,Intermediate,Intermediate,116,High Quality,lower rating,10,0
118,True,40,mate,black,1756,1756,C24,Bishop's Opening,5,rapid,Intermediate,Intermediate,0,High Quality,higher rating,10,0
119,True,49,outoftime,white,1724,1958,A43,Benoni Defense,5,blitz,Intermediate,Intermediate,234,Medium Quality,higher rating,8,0
120,True,50,resign,black,2036,1706,A08,King's Indian Attack,6,rapid,Advanced,Intermediate,330,Medium Quality,lower rating,10,0
121,True,59,mate,white,1706,925,D02,Queen's Pawn Game,5,rapid,Intermediate,Rookie,781,Low Quality,higher rating,10,0
122,True,26,outoftime,black,1244,1219,B00,Nimzowitsch Defense,4,rapid,Beginner,Beginner,25,High Quality,lower rating,15,15
123,True,23,mate,white,1215,921,C50,Italian Game,5,rapid,Beginner,Rookie,294,Medium Quality,higher rating,15,15
124,True,118,mate,black,1350,1201,B03,Alekhine Defense #2,5,rapid,Beginner,Beginner,149,High Quality,lower rating,15,15
125,True,66,mate,black,1210,1280,B29,Sicilian Defense,4,rapid,Beginner,Beginner,70,High Quality,higher rating,15,15
126,True,120,draw,draw,1139,1212,C50,Four Knights Game,8,rapid,Beginner,Beginner,73,High Quality,higher rating,15,15
127,True,36,mate,black,1220,1341,C57,Italian Game,11,rapid,Beginner,Beginner,121,High Quality,higher rating,15,15
128,True,26,mate,black,1234,1359,C55,Italian Game,6,rapid,Beginner,Beginner,125,High Quality,higher rating,15,15
129,True,62,resign,black,1275,1236,C57,Italian Game,11,rapid,Beginner,Beginner,39,High Quality,lower rating,15,15
130,True,37,resign,white,1433,1282,B02,Alekhine Defense,3,rapid,Beginner,Beginner,151,High Quality,higher rating,15,15
131,True,24,resign,black,1132,1276,D06,Queen's Gambit Refused,4,rapid,Beginner,Beginner,144,High Quality,higher rating,15,15
132,False,47,resign,white,1276,1308,C55,Italian Game,6,rapid,Beginner,Beginner,32,High Quality,higher rating,30,2
133,True,37,resign,black,1228,1266,B02,Alekhine Defense,7,rapid,Beginner,Beginner,38,High Quality,higher rating,15,15
134,True,24,resign,black,1273,1409,B13,Caro-Kann Defense,5,rapid,Beginner,Beginner,136,High Quality,higher rating,15,15
135,True,9,resign,white,1338,1277,D00,Queen's Pawn Game #2,3,rapid,Beginner,Beginner,61,High Quality,higher rating,15,15
136,True,47,mate,white,1263,1336,B57,Sicilian Defense,8,rapid,Beginner,Beginner,73,High Quality,higher rating,15,15
137,True,85,mate,white,1316,1273,A20,English Opening,2,rapid,Beginner,Beginner,43,High Quality,higher rating,15,15
138,True,39,mate,white,1248,1253,B00,Goldsmith Defense,2,rapid,Beginner,Beginner,5,High Quality,higher rating,15,15
139,True,58,mate,black,1335,1233,E20,Nimzo-Indian Defense,6,rapid,Beginner,Beginner,102,High Quality,lower rating,15,15
140,True,95,mate,white,1223,1189,C57,Italian Game,11,rapid,Beginner,Beginner,34,High Quality,higher rating,15,15
141,True,2,resign,black,1443,1204,B02,Alekhine Defense,2,rapid,Beginner,Beginner,239,Medium Quality,lower rating,15,15
142,True,97,mate,white,1227,1216,D06,Queen's Gambit Refused,4,rapid,Beginner,Beginner,11,High Quality,higher rating,15,15
143,True,12,draw,draw,1215,1219,C50,Italian Game,5,rapid,Beginner,Beginner,4,High Quality,higher rating,15,15
144,True,30,resign,white,1227,1227,C50,Four Knights Game,8,rapid,Beginner,Beginner,0,High Quality,higher rating,15,15
145,True,43,mate,white,1550,1225,E11,Bogo-Indian Defense,8,rapid,Beginner,Beginner,325,Medium Quality,higher rating,10,0
146,True,11,resign,white,1325,1234,B02,Alekhine Defense,2,rapid,Beginner,Beginner,91,High Quality,higher rating,15,15
147,True,72,mate,black,1212,1221,B02,Alekhine Defense,5,rapid,Beginner,Beginner,9,High Quality,higher rating,15,15
148,True,156,mate,black,1226,1478,C40,King's Knight Opening,3,rapid,Beginner,Beginner,252,Medium Quality,higher rating,15,15
149,True,18,resign,black,1228,1626,D30,Queen's Gambit Declined,4,rapid,Beginner,Intermediate,398,Medium Quality,higher rating,25,0
150,False,77,mate,white,1191,1228,C11,French Defense,7,rapid,Beginner,Beginner,37,High Quality,higher rating,10,2
151,True,32,resign,black,1422,1210,B02,Alekhine Defense,5,rapid,Beginner,Beginner,212,Medium Quality,lower rating,30,0
152,True,35,resign,white,1186,1223,C28,Vienna Game,5,rapid,Beginner,Beginner,37,High Quality,higher rating,15,15
153,True,85,mate,white,1212,1212,B06,Modern Defense,2,rapid,Beginner,Beginner,0,High Quality,higher rating,15,15
154,True,50,resign,black,1228,1343,B01,Scandinavian Defense,6,rapid,Beginner,Beginner,115,High Quality,higher rating,15,15
155,True,111,resign,white,1865,1862,A46,Yusupov-Rubinstein System,5,rapid,Intermediate,Intermediate,3,High Quality,higher rating,10,10
156,True,65,outoftime,white,1852,1852,B30,Sicilian Defense,5,blitz,Intermediate,Intermediate,0,High Quality,higher rating,7,2
157,True,73,resign,white,1833,1863,A56,Benoni Defense,4,rapid,Intermediate,Intermediate,30,High Quality,higher rating,15,0
158,True,125,resign,white,1851,1918,B27,Sicilian Defense,4,rapid,Intermediate,Intermediate,67,High Quality,higher rating,15,0
159,True,76,resign,black,1861,1844,C55,Italian Game,6,rapid,Intermediate,Intermediate,17,High Quality,lower rating,15,0
160,True,65,outoftime,white,1853,1774,C65,Ruy Lopez,6,rapid,Intermediate,Intermediate,79,High Quality,higher rating,10,0
161,True,41,mate,white,1910,1862,B90,Sicilian Defense,11,rapid,Intermediate,Intermediate,48,High Quality,higher rating,10,0
162,True,59,resign,white,1851,1890,C00,French Defense,3,rapid,Intermediate,Intermediate,39,High Quality,higher rating,10,0
163,True,70,resign,black,1860,1840,B50,Sicilian Defense,5,rapid,Intermediate,Intermediate,20,High Quality,lower rating,15,5
164,True,34,resign,white,1828,1848,B51,Sicilian Defense,5,rapid,Intermediate,Intermediate,20,High Quality,higher rating,25,25
165,True,69,outoftime,white,1855,1858,E00,Amar Opening,1,blitz,Intermediate,Intermediate,3,High Quality,higher rating,8,0
166,True,63,resign,white,1847,1895,C70,Ruy Lopez,8,rapid,Intermediate,Intermediate,48,High Quality,higher rating,10,10
167,True,107,resign,white,1885,1856,B50,Sicilian Defense,4,rapid,Intermediate,Intermediate,29,High Quality,higher rating,10,10
168,True,58,resign,white,1847,1802,A40,Queen's Pawn,1,rapid,Intermediate,Intermediate,45,High Quality,higher rating,30,0
169,False,34,resign,black,1847,1856,B11,Caro-Kann Defense,6,rapid,Intermediate,Intermediate,9,High Quality,higher rating,20,5
170,True,100,outoftime,black,1840,1837,B22,Sicilian Defense,3,rapid,Intermediate,Intermediate,3,High Quality,lower rating,15,0
171,True,80,resign,black,1848,1806,B40,Sicilian Defense,4,blitz,Intermediate,Intermediate,42,High Quality,lower rating,5,5
172,True,44,resign,black,1860,1820,C00,French Defense,3,rapid,Intermediate,Intermediate,40,High Quality,lower rating,15,0
173,True,40,outoftime,black,1854,1849,A45,Paleface Attack,3,rapid,Intermediate,Intermediate,5,High Quality,lower rating,10,0
174,True,105,outoftime,white,1895,1859,B50,Sicilian Defense,4,rapid,Intermediate,Intermediate,36,High Quality,higher rating,10,0
175,True,50,resign,black,1866,1965,B31,Sicilian Defense,6,rapid,Intermediate,Intermediate,99,High Quality,higher rating,15,0
176,False,144,outoftime,draw,1866,1843,B50,Sicilian Defense,4,rapid,Intermediate,Intermediate,23,High Quality,higher rating,10,0
177,False,81,resign,black,1835,1866,B18,Caro-Kann Defense,11,rapid,Intermediate,Intermediate,31,High Quality,higher rating,10,0
178,True,69,resign,black,1877,1860,C61,Ruy Lopez,6,rapid,Intermediate,Intermediate,17,High Quality,lower rating,15,0
179,True,77,mate,white,1849,1874,B90,Sicilian Defense,11,blitz,Intermediate,Intermediate,25,High Quality,higher rating,7,8
180,True,158,mate,black,1835,1865,E10,Blumenfeld Countergambit #2,6,blitz,Intermediate,Intermediate,30,High Quality,higher rating,6,6
181,True,107,draw,draw,1866,1835,C55,Italian Game,7,rapid,Intermediate,Intermediate,31,High Quality,higher rating,15,5
182,True,117,mate,white,1856,1829,C78,Ruy Lopez,12,rapid,Intermediate,Intermediate,27,High Quality,higher rating,15,0
183,True,44,resign,white,1845,1846,C70,Ruy Lopez,8,rapid,Intermediate,Intermediate,1,High Quality,higher rating,10,0
184,True,40,resign,black,1834,1835,B30,Sicilian Defense,4,rapid,Intermediate,Intermediate,1,High Quality,higher rating,15,0
185,True,59,resign,white,1846,1845,B10,Caro-Kann Defense,2,rapid,Intermediate,Intermediate,1,High Quality,higher rating,15,5
186,False,110,resign,black,1845,1917,D06,Queen's Gambit Refused,4,rapid,Intermediate,Intermediate,72,High Quality,higher rating,10,0
187,True,30,resign,black,1858,1790,B01,Scandinavian Defense,4,rapid,Intermediate,Intermediate,68,High Quality,lower rating,15,0
188,True,54,resign,black,1871,1847,B30,Sicilian Defense,4,rapid,Intermediate,Intermediate,24,High Quality,lower rating,10,0
189,True,69,resign,black,1846,1869,C41,Philidor Defense,5,rapid,Intermediate,Intermediate,23,High Quality,higher rating,10,0
190,True,178,mate,black,1843,1836,B22,Sicilian Defense,3,rapid,Intermediate,Intermediate,7,High Quality,lower rating,16,0
191,True,136,resign,black,1800,1826,B20,Sicilian Defense,2,rapid,Intermediate,Intermediate,26,High Quality,higher rating,15,0
192,False,124,mate,black,1283,1267,B30,Sicilian Defense,5,blitz,Beginner,Beginner,16,High Quality,lower rating,8,0
193,True,96,resign,black,1290,1270,A00,Hungarian Opening,1,rapid,Beginner,Beginner,20,High Quality,lower rating,10,4
194,True,53,outoftime,white,1331,1281,D00,Queen's Pawn Game #3,4,rapid,Beginner,Beginner,50,High Quality,higher rating,12,0
195,True,39,mate,white,1304,1292,A00,Van't Kruijs Opening,1,rapid,Beginner,Beginner,12,High Quality,higher rating,10,0
196,True,10,mate,black,1305,1293,C00,French Defense,3,rapid,Beginner,Beginner,12,High Quality,lower rating,10,0
197,True,51,mate,white,1308,1317,C22,Center Game,8,rapid,Beginner,Beginner,9,High Quality,higher rating,10,0
198,True,18,resign,black,1296,1305,C54,Italian Game,13,rapid,Beginner,Beginner,9,High Quality,higher rating,15,0
199,False,106,mate,black,968,1305,C50,Four Knights Game,8,rapid,Rookie,Beginner,337,Medium Quality,higher rating,30,0
200,False,38,mate,black,1293,1466,C41,Philidor Defense #3,5,rapid,Beginner,Beginner,173,High Quality,higher rating,15,15
201,True,59,mate,white,1500,1299,C68,Ruy Lopez,7,blitz,Beginner,Beginner,201,Medium Quality,higher rating,7,2
202,True,111,mate,white,1288,1232,B12,Caro-Kann Defense,3,blitz,Beginner,Beginner,56,High Quality,higher rating,7,2
203,True,28,resign,black,1289,2108,C77,Ruy Lopez,9,blitz,Beginner,Advanced,819,Low Quality,higher rating,7,2
204,False,101,outoftime,white,1431,1289,C22,Center Game,6,blitz,Beginner,Beginner,142,High Quality,higher rating,7,2
205,False,15,mate,white,1806,1289,C45,Scotch Game,7,blitz,Intermediate,Beginner,517,Low Quality,higher rating,7,2
206,False,42,resign,white,1289,1311,C41,Philidor Defense #3,5,blitz,Beginner,Beginner,22,High Quality,higher rating,7,2
207,False,118,resign,black,1431,1289,A40,Englund Gambit Declined |  Reversed French,3,blitz,Beginner,Beginner,142,High Quality,lower rating,7,2
208,False,34,resign,black,1289,1484,C50,Giuoco Piano,6,blitz,Beginner,Beginner,195,High Quality,higher rating,7,2
209,False,60,resign,black,1289,1810,A42,Sicilian Defense,5,blitz,Beginner,Intermediate,521,Low Quality,higher rating,7,2
210,False,66,resign,black,1806,1289,C44,Scotch Game,5,blitz,Intermediate,Beginner,517,Low Quality,lower rating,7,2
211,False,21,outoftime,white,1289,1500,C41,Philidor Defense #3,5,blitz,Beginner,Beginner,211,Medium Quality,higher rating,5,8
212,True,73,mate,white,1409,1297,C70,Ruy Lopez,8,rapid,Beginner,Beginner,112,High Quality,higher rating,15,1
213,True,159,mate,white,1280,1485,C55,Italian Game,6,rapid,Beginner,Beginner,205,Medium Quality,higher rating,15,1
214,False,74,resign,white,1280,1211,B01,Scandinavian Defense,4,rapid,Beginner,Beginner,69,High Quality,higher rating,15,0
215,False,28,mate,black,1211,1280,A00,Crab Opening,3,rapid,Beginner,Beginner,69,High Quality,higher rating,15,0
216,True,112,mate,black,1281,1765,C41,Philidor Defense #4,6,rapid,Beginner,Intermediate,484,Low Quality,higher rating,10,0
217,True,104,resign,black,1288,1454,C42,Petrov's Defense,4,rapid,Beginner,Beginner,166,High Quality,higher rating,15,1
218,True,40,mate,black,1560,1270,D07,Queen's Gambit Refused,5,rapid,Beginner,Beginner,290,Medium Quality,lower rating,15,1
219,True,44,mate,black,1274,1534,B27,Sicilian Defense,4,rapid,Beginner,Beginner,260,Medium Quality,higher rating,15,1
220,True,150,draw,draw,1259,1663,C55,Italian Game,6,rapid,Beginner,Intermediate,404,Low Quality,higher rating,15,1
221,True,60,mate,black,1614,1238,D02,Queen's Pawn Game,5,rapid,Intermediate,Beginner,376,Medium Quality,lower rating,10,0
